target	seed	rval	voxel
R.Nac	9/46d	0.498981 	 25,82,56
R.Nac	44v	0.419473 	 18,74,39
R.Nac	SMA	0.551411 	 43,60,65
R.Nac	8m 	0.372693 	 48,80,65
R.Nac	M1	0.441140 	 66,54,59
R.Nac	S1	0.292982 	 66,47,66
R.Nac	ParOp	0.459192 	 70,47,46
R.Nac	aIPS	0.394774 	 73,50,58
R.Nac	pIPL	0.434799 	 61,40,58
R.Nac	pIPL	0.473607 	 55,26,59
R.Nac	23ab	0.321635 	 47,54,55
R.Nac	rsplC	0.344657 	 50,40,41
R.Nac	latocc	0.331363 	 72,34,30
R.Nac	perirhinal	0.430810 	 68,62,18
R.Nac	temPol	0.502515 	 68,70,19
R.Nac	ventrStr	0.541727 	 53,67,30
R.Nac	Caud	0.504575 	 51,67,45
R.Nac	put	0.689423 	 30,67,33
R.Nac	hippoc	0.498943 	 58,52,27
R.Nac	amygd	0.770637 	 57,62,26
R.Nac	hypoth	0.629114 	 45,62,31
R.Nac	VTA	0.656813 	 45,54,27
L.Nac	9/46d	0.562181 	 25,82,54
L.Nac	44v	0.581122 	 18,74,39
L.Nac	SMA	0.758858 	 43,60,65
L.Nac	8m 	0.380709 	 47,82,65
L.Nac	M1	0.705465 	 66,55,61
L.Nac	S1	0.470027 	 66,48,66
L.Nac	ParOp	0.685701 	 72,48,46
L.Nac	aIPS	0.531760 	 73,50,58
L.Nac	pIPL	0.530533 	 61,40,58
L.Nac	pIPL	0.644146 	 55,25,59
L.Nac	23ab	0.325298 	 45,52,53
L.Nac	rsplC	0.577433 	 49,40,41
L.Nac	latocc	0.421668 	 72,33,30
L.Nac	perirhinal	0.419880 	 67,62,17
L.Nac	temPol	0.419396 	 68,69,21
L.Nac	ventrStr	0.608393 	 51,67,31
L.Nac	Caud	0.574913 	 51,67,44
L.Nac	put	0.770054 	 31,67,33
L.Nac	hippoc	0.628325 	 57,52,29
L.Nac	amygd	0.794133 	 57,62,28
L.Nac	hypoth	0.483433 	 45,62,31
L.Nac	VTA	0.575479 	 46,54,27
R.Dca	9/46d	0.399699 	 23,81,55
R.Dca	44v	0.449816 	 18,74,39
R.Dca	SMA	0.668488 	 43,60,66
R.Dca	8m 	0.362915 	 47,81,63
R.Dca	M1	0.590033 	 66,55,61
R.Dca	S1	0.658182 	 66,48,66
R.Dca	ParOp	0.576836 	 72,47,47
R.Dca	aIPS	0.385491 	 73,52,58
R.Dca	pIPL	0.365582 	 61,40,58
R.Dca	pIPL	0.524007 	 55,25,59
R.Dca	23ab	0.306821 	 47,54,53
R.Dca	rsplC	0.508400 	 49,40,41
R.Dca	latocc	0.487373 	 74,32,30
R.Dca	perirhinal	0.373362 	 67,64,18
R.Dca	temPol	0.443678 	 67,69,19
R.Dca	ventrStr	0.451781 	 52,69,32
R.Dca	Caud	0.602306 	 53,67,45
R.Dca	put	0.745314 	 31,65,33
R.Dca	hippoc	0.527929 	 59,54,28
R.Dca	amygd	0.523903 	 58,62,28
R.Dca	hypoth	0.299722 	 46,61,31
R.Dca	VTA	0.507159 	 45,52,27
L.Dca	9/46d	0.412585 	 25,82,54
L.Dca	44v	0.534578 	 18,73,39
L.Dca	SMA	0.480134 	 43,62,66
L.Dca	8m 	0.377101 	 47,82,65
L.Dca	M1	0.476942 	 66,55,61
L.Dca	S1	0.465233 	 67,49,66
L.Dca	ParOp	0.476226 	 72,47,48
L.Dca	aIPS	0.377534 	 74,51,57
L.Dca	pIPL	0.403811 	 62,38,58
L.Dca	pIPL	0.480394 	 55,25,59
L.Dca	23ab	0.257059 	 47,54,53
L.Dca	rsplC	0.473237 	 50,38,40
L.Dca	latocc	0.509992 	 74,32,30
L.Dca	perirhinal	0.432244 	 67,64,16
L.Dca	temPol	0.507165 	 66,69,19
L.Dca	ventrStr	0.397038 	 51,67,31
L.Dca	Caud	0.647905 	 52,67,43
L.Dca	put	0.672455 	 31,65,33
L.Dca	hippoc	0.482804 	 58,52,29
L.Dca	amygd	0.555131 	 58,61,28
L.Dca	hypoth	0.384106 	 45,62,31
L.Dca	VTA	0.505293 	 46,54,27
R.Vca	9/46d	0.511684 	 25,82,56
R.Vca	44v	0.389504 	 19,73,39
R.Vca	SMA	0.602111 	 44,61,65
R.Vca	8m 	0.239660 	 46,82,63
R.Vca	M1	0.489154 	 67,54,59
R.Vca	S1	0.369065 	 68,47,64
R.Vca	ParOp	0.620304 	 72,48,46
R.Vca	aIPS	0.390782 	 73,50,59
R.Vca	pIPL	0.466368 	 61,40,58
R.Vca	pIPL	0.448480 	 55,25,59
R.Vca	23ab	0.276067 	 47,54,54
R.Vca	rsplC	0.429047 	 49,40,41
R.Vca	latocc	0.288374 	 72,32,30
R.Vca	perirhinal	0.217815 	 67,62,18
R.Vca	temPol	0.287401 	 67,68,19
R.Vca	ventrStr	0.621273 	 52,69,32
R.Vca	Caud	0.474541 	 52,67,44
R.Vca	put	0.611619 	 31,67,34
R.Vca	hippoc	0.443598 	 59,52,29
R.Vca	amygd	0.415224 	 58,62,27
R.Vca	hypoth	0.292406 	 45,62,31
R.Vca	VTA	0.420961 	 45,52,27
L.Vca	9/46d	0.283922 	 24,81,56
L.Vca	44v	0.325509 	 20,74,39
L.Vca	SMA	0.423927 	 43,60,66
L.Vca	8m 	0.366466 	 48,82,63
L.Vca	M1	0.366334 	 65,55,59
L.Vca	S1	0.564673 	 68,47,64
L.Vca	ParOp	0.324318 	 72,48,46
L.Vca	aIPS	0.228115 	 73,50,59
L.Vca	pIPL	0.289670 	 61,38,57
L.Vca	pIPL	0.380584 	 56,25,58
L.Vca	23ab	0.361762 	 45,52,53
L.Vca	rsplC	0.377867 	 49,40,40
L.Vca	latocc	0.274592 	 73,32,32
L.Vca	perirhinal	0.388527 	 67,63,18
L.Vca	temPol	0.400713 	 67,69,19
L.Vca	ventrStr	0.497615 	 53,67,32
L.Vca	Caud	0.497553 	 52,67,45
L.Vca	put	0.375453 	 32,67,34
L.Vca	hippoc	0.328477 	 57,52,29
L.Vca	amygd	0.246519 	 57,62,28
L.Vca	hypoth	0.240030 	 45,61,29
L.Vca	VTA	0.416272 	 44,53,28
R.Gp	9/46d	0.226730 	 23,80,56
R.Gp	44v	0.280723 	 19,74,41
R.Gp	SMA	0.192123 	 42,62,66
R.Gp	8m 	0.258015 	 48,80,63
R.Gp	M1	0.206679 	 65,54,60
R.Gp	S1	0.252944 	 68,48,64
R.Gp	ParOp	0.251164 	 72,49,48
R.Gp	aIPS	0.323388 	 73,51,59
R.Gp	pIPL	0.319172 	 62,38,57
R.Gp	pIPL	0.329492 	 54,24,58
R.Gp	23ab	0.228190 	 45,54,53
R.Gp	rsplC	0.298515 	 48,38,42
R.Gp	latocc	0.215842 	 72,33,30
R.Gp	perirhinal	0.288821 	 68,62,18
R.Gp	temPol	0.248927 	 67,69,20
R.Gp	ventrStr	0.354679 	 53,67,30
R.Gp	Caud	0.234491 	 53,68,44
R.Gp	put	0.305587 	 31,67,32
R.Gp	hippoc	0.362564 	 59,52,27
R.Gp	amygd	0.206920 	 56,62,26
R.Gp	hypoth	0.380966 	 47,61,30
R.Gp	VTA	0.366685 	 44,54,28
L.Gp	9/46d	0.445540 	 25,82,54
L.Gp	44v	0.532084 	 19,74,39
L.Gp	SMA	0.643522 	 43,60,66
L.Gp	8m 	0.454910 	 47,82,65
L.Gp	M1	0.619898 	 67,55,59
L.Gp	S1	0.480136 	 66,48,66
L.Gp	ParOp	0.603797 	 72,48,46
L.Gp	aIPS	0.353015 	 74,50,57
L.Gp	pIPL	0.453550 	 61,40,58
L.Gp	pIPL	0.507579 	 55,26,59
L.Gp	23ab	0.336668 	 46,53,54
L.Gp	rsplC	0.538043 	 49,40,41
L.Gp	latocc	0.363457 	 74,32,30
L.Gp	perirhinal	0.379204 	 67,64,16
L.Gp	temPol	0.522262 	 68,69,21
L.Gp	ventrStr	0.461573 	 51,67,31
L.Gp	Caud	0.549053 	 51,67,45
L.Gp	put	0.646536 	 31,67,34
L.Gp	hippoc	0.419092 	 58,52,29
L.Gp	amygd	0.617218 	 57,62,28
L.Gp	hypoth	0.403455 	 45,62,31
L.Gp	VTA	0.499381 	 46,54,27
R.Vmpu	9/46d	0.484743 	 25,82,56
R.Vmpu	44v	0.488806 	 18,73,39
R.Vmpu	SMA	0.629086 	 44,62,67
R.Vmpu	8m 	0.362650 	 47,82,65
R.Vmpu	M1	0.534496 	 66,55,61
R.Vmpu	S1	0.560447 	 66,48,66
R.Vmpu	ParOp	0.620455 	 72,48,46
R.Vmpu	aIPS	0.446900 	 74,52,57
R.Vmpu	pIPL	0.557183 	 61,40,58
R.Vmpu	pIPL	0.526634 	 55,25,59
R.Vmpu	23ab	0.330163 	 45,52,53
R.Vmpu	rsplC	0.523532 	 49,40,41
R.Vmpu	latocc	0.326621 	 74,32,30
R.Vmpu	perirhinal	0.315436 	 67,64,16
R.Vmpu	temPol	0.477457 	 66,68,19
R.Vmpu	ventrStr	0.495377 	 52,69,32
R.Vmpu	Caud	0.495067 	 52,67,45
R.Vmpu	put	0.723194 	 32,65,33
R.Vmpu	hippoc	0.641065 	 58,52,29
R.Vmpu	amygd	0.629527 	 57,62,28
R.Vmpu	hypoth	0.350243 	 45,62,30
R.Vmpu	VTA	0.468683 	 46,54,27
L.Vmpu	9/46d	0.509230 	 25,82,54
L.Vmpu	44v	0.479751 	 18,73,39
L.Vmpu	SMA	0.652781 	 43,60,65
L.Vmpu	8m 	0.447037 	 46,82,65
L.Vmpu	M1	0.553826 	 66,55,61
L.Vmpu	S1	0.478029 	 66,48,66
L.Vmpu	ParOp	0.625542 	 71,47,47
L.Vmpu	aIPS	0.480167 	 72,50,59
L.Vmpu	pIPL	0.529203 	 61,40,58
L.Vmpu	pIPL	0.510640 	 55,25,59
L.Vmpu	23ab	0.393664 	 45,52,53
L.Vmpu	rsplC	0.509813 	 49,40,42
L.Vmpu	latocc	0.325036 	 72,34,32
L.Vmpu	perirhinal	0.340685 	 67,62,18
L.Vmpu	temPol	0.482032 	 67,69,19
L.Vmpu	ventrStr	0.568056 	 51,67,31
L.Vmpu	Caud	0.480244 	 52,67,45
L.Vmpu	put	0.696894 	 31,67,34
L.Vmpu	hippoc	0.484739 	 58,52,29
L.Vmpu	amygd	0.582951 	 58,62,27
L.Vmpu	hypoth	0.424604 	 45,62,31
L.Vmpu	VTA	0.502267 	 46,54,27
R.A10m	9/46d	0.316914 	 24,81,56
R.A10m	44v	0.663295 	 19,72,39
R.A10m	SMA	0.367352 	 42,61,65
R.A10m	8m 	0.526744 	 48,81,63
R.A10m	M1	0.406621 	 65,55,59
R.A10m	S1	0.347313 	 68,47,64
R.A10m	ParOp	0.309861 	 70,49,48
R.A10m	aIPS	0.362773 	 74,52,59
R.A10m	pIPL	0.410285 	 63,38,56
R.A10m	pIPL	0.364754 	 56,25,58
R.A10m	23ab	0.461292 	 45,52,54
R.A10m	rsplC	0.352188 	 50,39,40
R.A10m	latocc	0.320863 	 73,32,31
R.A10m	perirhinal	0.541567 	 69,63,16
R.A10m	temPol	0.543087 	 66,70,21
R.A10m	ventrStr	0.305394 	 52,69,32
R.A10m	Caud	0.456083 	 53,67,45
R.A10m	put	0.495339 	 32,66,33
R.A10m	hippoc	0.484042 	 57,52,29
R.A10m	amygd	0.354764 	 58,61,28
R.A10m	hypoth	0.578711 	 46,61,31
R.A10m	VTA	0.331520 	 45,52,27
L.A10m	9/46d	0.460732 	 25,80,56
L.A10m	44v	0.597022 	 18,73,39
L.A10m	SMA	0.404219 	 43,61,65
L.A10m	8m 	0.572615 	 46,82,65
L.A10m	M1	0.434969 	 65,55,59
L.A10m	S1	0.345038 	 68,47,64
L.A10m	ParOp	0.251932 	 70,49,47
L.A10m	aIPS	0.528421 	 73,52,58
L.A10m	pIPL	0.475112 	 63,39,58
L.A10m	pIPL	0.326552 	 56,25,58
L.A10m	23ab	0.636130 	 45,53,53
L.A10m	rsplC	0.416255 	 50,39,40
L.A10m	latocc	0.508152 	 73,32,31
L.A10m	perirhinal	0.551470 	 69,62,17
L.A10m	temPol	0.649476 	 66,70,21
L.A10m	ventrStr	0.312599 	 53,68,31
L.A10m	Caud	0.281292 	 53,67,45
L.A10m	put	0.424858 	 32,65,33
L.A10m	hippoc	0.481868 	 57,52,29
L.A10m	amygd	0.421499 	 58,61,28
L.A10m	hypoth	0.615872 	 46,61,31
L.A10m	VTA	0.337573 	 46,52,27
R.A11m	9/46d	0.283582 	 25,80,56
R.A11m	44v	0.655865 	 18,73,40
R.A11m	SMA	0.364848 	 43,62,66
R.A11m	8m 	0.611856 	 46,82,64
R.A11m	M1	0.387953 	 65,54,59
R.A11m	S1	0.214880 	 68,48,64
R.A11m	ParOp	0.226437 	 72,49,46
R.A11m	aIPS	0.360465 	 72,51,58
R.A11m	pIPL	0.267365 	 62,38,58
R.A11m	pIPL	0.461061 	 54,25,58
R.A11m	23ab	0.570157 	 46,53,53
R.A11m	rsplC	0.441895 	 50,39,41
R.A11m	latocc	0.323667 	 74,32,31
R.A11m	perirhinal	0.337338 	 69,64,16
R.A11m	temPol	0.497651 	 68,70,21
R.A11m	ventrStr	0.339527 	 52,69,31
R.A11m	Caud	0.463535 	 53,69,45
R.A11m	put	0.401141 	 31,65,32
R.A11m	hippoc	0.482610 	 59,52,29
R.A11m	amygd	0.509721 	 57,61,28
R.A11m	hypoth	0.513407 	 46,63,31
R.A11m	VTA	0.344375 	 45,52,27
L.A11m	9/46d	0.366381 	 25,80,55
L.A11m	44v	0.396616 	 19,74,40
L.A11m	SMA	0.371155 	 42,61,66
L.A11m	8m 	0.408691 	 48,80,63
L.A11m	M1	0.304694 	 65,53,60
L.A11m	S1	0.193281 	 66,47,66
L.A11m	ParOp	0.303827 	 70,49,46
L.A11m	aIPS	0.280637 	 74,50,57
L.A11m	pIPL	0.349584 	 62,39,57
L.A11m	pIPL	0.227877 	 56,26,57
L.A11m	23ab	0.282286 	 46,52,54
L.A11m	rsplC	0.302917 	 48,38,40
L.A11m	latocc	0.407723 	 74,32,31
L.A11m	perirhinal	0.307491 	 68,62,18
L.A11m	temPol	0.421247 	 67,70,19
L.A11m	ventrStr	0.455826 	 52,69,30
L.A11m	Caud	0.374837 	 52,68,43
L.A11m	put	0.325016 	 32,66,32
L.A11m	hippoc	0.308891 	 59,53,28
L.A11m	amygd	0.263592 	 57,60,26
L.A11m	hypoth	0.511509 	 45,61,30
L.A11m	VTA	0.339599 	 45,54,28
R.A13	9/46d	0.289430 	 24,81,56
R.A13	44v	0.431018 	 18,72,41
R.A13	SMA	0.498170 	 44,62,66
R.A13	8m 	0.393409 	 47,82,63
R.A13	M1	0.397348 	 65,53,59
R.A13	S1	0.279845 	 68,47,65
R.A13	ParOp	0.308190 	 72,49,48
R.A13	aIPS	0.241931 	 73,51,57
R.A13	pIPL	0.205349 	 62,38,57
R.A13	pIPL	0.320435 	 54,26,57
R.A13	23ab	0.291448 	 46,52,55
R.A13	rsplC	0.341363 	 50,39,40
R.A13	latocc	0.385056 	 74,32,31
R.A13	perirhinal	0.395825 	 68,64,16
R.A13	temPol	0.452457 	 66,68,19
R.A13	ventrStr	0.271767 	 52,69,31
R.A13	Caud	0.323920 	 51,69,44
R.A13	put	0.465526 	 30,66,34
R.A13	hippoc	0.470374 	 58,52,29
R.A13	amygd	0.402950 	 57,62,27
R.A13	hypoth	0.392595 	 45,62,31
R.A13	VTA	0.351549 	 45,52,27
L.A13	9/46d	0.250025 	 25,80,56
L.A13	44v	0.461818 	 18,73,41
L.A13	SMA	0.282084 	 44,61,66
L.A13	8m 	0.313969 	 46,81,64
L.A13	M1	0.192467 	 67,54,61
L.A13	S1	0.283170 	 66,49,66
L.A13	ParOp	0.160553 	 72,49,48
L.A13	aIPS	0.301149 	 73,52,57
L.A13	pIPL	0.288650 	 62,39,58
L.A13	pIPL	0.324388 	 54,25,58
L.A13	23ab	0.461495 	 47,54,55
L.A13	rsplC	0.404106 	 50,39,40
L.A13	latocc	0.333544 	 74,32,31
L.A13	perirhinal	0.340135 	 67,64,16
L.A13	temPol	0.357333 	 67,69,19
L.A13	ventrStr	0.370741 	 51,68,30
L.A13	Caud	0.380708 	 53,69,45
L.A13	put	0.290532 	 32,65,32
L.A13	hippoc	0.359682 	 59,53,29
L.A13	amygd	0.226199 	 56,61,26
L.A13	hypoth	0.277608 	 46,63,31
L.A13	VTA	0.371960 	 44,54,29
R.A32sg	9/46d	0.451314 	 24,82,55
R.A32sg	44v	0.361953 	 19,72,39
R.A32sg	SMA	0.630046 	 44,61,65
R.A32sg	8m 	0.277405 	 48,82,63
R.A32sg	M1	0.408646 	 66,55,61
R.A32sg	S1	0.500954 	 66,49,64
R.A32sg	ParOp	0.560572 	 72,47,46
R.A32sg	aIPS	0.386578 	 72,50,59
R.A32sg	pIPL	0.459878 	 61,40,58
R.A32sg	pIPL	0.470224 	 55,25,59
R.A32sg	23ab	0.304517 	 47,52,55
R.A32sg	rsplC	0.513507 	 49,40,41
R.A32sg	latocc	0.385958 	 72,34,32
R.A32sg	perirhinal	0.383816 	 67,64,16
R.A32sg	temPol	0.360363 	 68,70,20
R.A32sg	ventrStr	0.464155 	 51,67,31
R.A32sg	Caud	0.494740 	 53,68,44
R.A32sg	put	0.539565 	 32,65,34
R.A32sg	hippoc	0.365094 	 57,52,29
R.A32sg	amygd	0.438364 	 58,62,28
R.A32sg	hypoth	0.473526 	 46,62,31
R.A32sg	VTA	0.361822 	 45,52,27
L.A32sg	9/46d	0.420069 	 24,81,56
L.A32sg	44v	0.508707 	 20,72,39
L.A32sg	SMA	0.379027 	 43,60,65
L.A32sg	8m 	0.307116 	 47,82,64
L.A32sg	M1	0.491820 	 65,55,60
L.A32sg	S1	0.422405 	 67,48,65
L.A32sg	ParOp	0.397458 	 70,49,48
L.A32sg	aIPS	0.505024 	 74,52,59
L.A32sg	pIPL	0.232137 	 63,40,58
L.A32sg	pIPL	0.364048 	 56,25,59
L.A32sg	23ab	0.295263 	 45,52,53
L.A32sg	rsplC	0.477656 	 48,40,40
L.A32sg	latocc	0.431335 	 74,32,30
L.A32sg	perirhinal	0.499940 	 69,62,16
L.A32sg	temPol	0.427680 	 66,69,19
L.A32sg	ventrStr	0.394084 	 51,67,31
L.A32sg	Caud	0.330381 	 53,69,44
L.A32sg	put	0.385156 	 32,66,34
L.A32sg	hippoc	0.526636 	 57,52,29
L.A32sg	amygd	0.399179 	 58,61,28
L.A32sg	hypoth	0.473919 	 47,61,31
L.A32sg	VTA	0.362681 	 45,52,27
R.Dia	9/46d	0.662647 	 25,82,54
R.Dia	44v	0.350772 	 18,72,41
R.Dia	SMA	0.688512 	 44,62,65
R.Dia	8m 	0.321922 	 47,82,64
R.Dia	M1	0.455297 	 66,55,61
R.Dia	S1	0.519070 	 66,48,66
R.Dia	ParOp	0.616424 	 72,47,47
R.Dia	aIPS	0.548379 	 73,50,58
R.Dia	pIPL	0.681186 	 61,40,58
R.Dia	pIPL	0.537178 	 56,26,59
R.Dia	23ab	0.477333 	 45,54,53
R.Dia	rsplC	0.585162 	 49,38,41
R.Dia	latocc	0.492527 	 72,34,31
R.Dia	perirhinal	0.293364 	 68,64,16
R.Dia	temPol	0.282324 	 66,69,21
R.Dia	ventrStr	0.471104 	 51,67,31
R.Dia	Caud	0.631838 	 51,69,43
R.Dia	put	0.546712 	 31,67,33
R.Dia	hippoc	0.313528 	 58,52,28
R.Dia	amygd	0.501495 	 58,62,26
R.Dia	hypoth	0.416141 	 46,61,30
R.Dia	VTA	0.487172 	 46,54,27
L.Dia	9/46d	0.283150 	 25,82,56
L.Dia	44v	0.282578 	 18,72,41
L.Dia	SMA	0.458300 	 43,60,67
L.Dia	8m 	0.447632 	 46,80,63
L.Dia	M1	0.400131 	 67,55,59
L.Dia	S1	0.175057 	 68,47,65
L.Dia	ParOp	0.404340 	 70,49,46
L.Dia	aIPS	0.313126 	 73,52,59
L.Dia	pIPL	0.220686 	 61,38,56
L.Dia	pIPL	0.308297 	 56,26,57
L.Dia	23ab	0.186763 	 47,52,54
L.Dia	rsplC	0.300318 	 48,38,42
L.Dia	latocc	0.379148 	 74,34,31
L.Dia	perirhinal	0.157208 	 68,63,16
L.Dia	temPol	0.378780 	 66,68,20
L.Dia	ventrStr	0.345304 	 53,67,32
L.Dia	Caud	0.396024 	 51,68,45
L.Dia	put	0.201160 	 32,66,34
L.Dia	hippoc	0.279808 	 58,53,29
L.Dia	amygd	0.269996 	 58,60,28
L.Dia	hypoth	0.261158 	 47,63,29
L.Dia	VTA	0.227065 	 45,52,28
R.Rhipp	9/46d	0.408783 	 25,81,56
R.Rhipp	44v	0.491100 	 20,72,41
R.Rhipp	SMA	0.460565 	 44,62,67
R.Rhipp	8m 	0.237626 	 48,80,63
R.Rhipp	M1	0.413755 	 66,55,61
R.Rhipp	S1	0.401856 	 68,47,64
R.Rhipp	ParOp	0.499494 	 70,47,47
R.Rhipp	aIPS	0.513773 	 73,50,58
R.Rhipp	pIPL	0.470109 	 61,40,58
R.Rhipp	pIPL	0.384704 	 54,25,57
R.Rhipp	23ab	0.263618 	 47,52,55
R.Rhipp	rsplC	0.399171 	 48,40,42
R.Rhipp	latocc	0.390340 	 74,34,32
R.Rhipp	perirhinal	0.321608 	 68,62,18
R.Rhipp	temPol	0.290664 	 67,68,19
R.Rhipp	ventrStr	0.372083 	 53,67,30
R.Rhipp	Caud	0.463580 	 51,67,45
R.Rhipp	put	0.405430 	 31,67,33
R.Rhipp	hippoc	0.399072 	 58,54,27
R.Rhipp	amygd	0.444740 	 58,62,26
R.Rhipp	hypoth	0.417268 	 46,61,30
R.Rhipp	VTA	0.490511 	 46,52,28
L.Rhipp	9/46d	0.482281 	 25,81,56
L.Rhipp	44v	0.478255 	 20,72,41
L.Rhipp	SMA	0.595613 	 44,62,65
L.Rhipp	8m 	0.268598 	 47,80,64
L.Rhipp	M1	0.472755 	 66,55,61
L.Rhipp	S1	0.384683 	 68,47,64
L.Rhipp	ParOp	0.510426 	 70,47,46
L.Rhipp	aIPS	0.660857 	 73,50,58
L.Rhipp	pIPL	0.543477 	 61,40,58
L.Rhipp	pIPL	0.520698 	 56,26,59
L.Rhipp	23ab	0.259898 	 45,52,55
L.Rhipp	rsplC	0.524926 	 48,40,42
L.Rhipp	latocc	0.506420 	 74,34,32
L.Rhipp	perirhinal	0.331844 	 68,62,18
L.Rhipp	temPol	0.361336 	 67,68,19
L.Rhipp	ventrStr	0.362301 	 51,67,31
L.Rhipp	Caud	0.447858 	 51,67,44
L.Rhipp	put	0.459311 	 30,67,32
L.Rhipp	hippoc	0.290678 	 58,54,27
L.Rhipp	amygd	0.454643 	 58,62,26
L.Rhipp	hypoth	0.362142 	 45,61,30
L.Rhipp	VTA	0.486481 	 46,52,28
R.Mamyg	9/46d	0.382728 	 25,81,54
R.Mamyg	44v	0.526055 	 18,74,39
R.Mamyg	SMA	0.459676 	 43,62,65
R.Mamyg	8m 	0.425761 	 47,82,65
R.Mamyg	M1	0.320961 	 66,54,60
R.Mamyg	S1	0.214424 	 67,47,66
R.Mamyg	ParOp	0.323289 	 71,49,48
R.Mamyg	aIPS	0.277869 	 72,50,59
R.Mamyg	pIPL	0.248826 	 61,40,58
R.Mamyg	pIPL	0.426568 	 54,24,59
R.Mamyg	23ab	0.377791 	 47,52,55
R.Mamyg	rsplC	0.299289 	 50,39,41
R.Mamyg	latocc	0.451829 	 74,32,31
R.Mamyg	perirhinal	0.313844 	 67,62,17
R.Mamyg	temPol	0.557907 	 68,70,19
R.Mamyg	ventrStr	0.504809 	 53,67,30
R.Mamyg	Caud	0.534581 	 51,69,43
R.Mamyg	put	0.601173 	 30,67,33
R.Mamyg	hippoc	0.436607 	 59,52,28
R.Mamyg	amygd	0.683980 	 57,62,26
R.Mamyg	hypoth	0.735919 	 45,62,31
R.Mamyg	VTA	0.561250 	 45,54,27
L.Mamyg	9/46d	0.273098 	 23,81,55
L.Mamyg	44v	0.312152 	 20,74,40
L.Mamyg	SMA	0.316621 	 43,62,65
L.Mamyg	8m 	0.487043 	 46,80,63
L.Mamyg	M1	0.243650 	 67,54,61
L.Mamyg	S1	0.202788 	 67,47,66
L.Mamyg	ParOp	0.174195 	 72,49,47
L.Mamyg	aIPS	0.280120 	 74,51,59
L.Mamyg	pIPL	0.188599 	 61,39,58
L.Mamyg	pIPL	0.342571 	 54,24,59
L.Mamyg	23ab	0.352532 	 45,54,55
L.Mamyg	rsplC	0.265840 	 50,40,41
L.Mamyg	latocc	0.284128 	 72,33,32
L.Mamyg	perirhinal	0.338817 	 69,62,18
L.Mamyg	temPol	0.438068 	 68,69,19
L.Mamyg	ventrStr	0.500048 	 52,67,30
L.Mamyg	Caud	0.282011 	 51,67,45
L.Mamyg	put	0.434537 	 30,67,33
L.Mamyg	hippoc	0.426862 	 59,52,27
L.Mamyg	amygd	0.608578 	 57,62,26
L.Mamyg	hypoth	0.529864 	 47,63,30
L.Mamyg	VTA	0.482560 	 46,54,28
