Index	Area	Abbreviation	Voxels	Coordinates
1	accumbens_R	accR		
2	accumbens_L	accL		
3	caudate_head_R	caudHeadR		
4	caudate_head_L	caudHeadL		
5	caudate_tail_R	caudTailR		
6	caudate_tail_L	caudTailL		
7	external_globus_pallidus_R	eGlobPalR		
8	external_globus_pallidus_L	eGlobPalL		
9	internal_globus_pallidus_R	iGlobPalR		
10	internal_globus_pallidus_L	iGlobPalL		
11	putamen_R	putamenR		
12	putamen_L	putamenL		
13	ventral_pallidum_R	vPalR		
14	ventral_pallidum_L	vPalL		
15	area_10mc_R	a10mcR		
16	area_10mc_L	a10mcL		
17	area_10mr_R	a10mrR		
18	area_10mr_L	a10mrL		
19	area_10o_R	a10oR		
20	area_10o_L	a10oL		
21	area_25_R	a25R		
22	area_25_L	a25L		
23	area_32_R	a32R		
24	area_32_L	a32L		
25	anterior_insula_R	aicR		
26	anterior_insula_L	aicL		
27	hippocampus_R	hippR		
28	hippocampus_L	hippL		
29	amygdala_R	amygdR		
30	amygdala_L	amygdL		
