Index	Atlas	Atlas_index	Atlas_value	Area	Abbreviation	roi_size	erode
1	SARM	5	52	accumbens_R	R.Nac	207	1 
2	SARM	5	52	accumbens_L	L.Nac	219	1
3	SARM	6	46	caudate_head_R	R.caudHead	2320	1
4	SARM	6	46	caudate_head_L	L.caudHead	2342	1
5	SARM	6	47	caudate_tail_R	R.caudTailR	620	0
6	SARM	6	47	caudate_tail_L	L.caudTailL	624	0
7	SARM	6	56	external_globus_pallidus_R	R.eGlobPal	279	1
8	SARM	6	56	external_globus_pallidus_L	L.eGlobPal	284	1
9	SARM	6	57	internal_globus_pallidus_R	R.iGlobPal	172	1
10	SARM	6	57	internal_globus_pallidus_L	L.iGlobPal	175	1
11	SARM	5	48	putamen_R	R.putamen	3942	1
12	SARM	5	48	putamen_L	L.putamen	3939	1
13	SARM	5	60	ventral_pallidum_R	R.vPal	183	0
14	SARM	5	60	ventral_pallidum_L	L.vPal	177	0
15	CHARM	6	20	area_10mc_R	R.a10mc	124	1
16	CHARM	6	20	area_10mc_L	L.a10mc	112	1
17	CHARM	6	19	area_10mr_R	R.a10mr	182	1
18	CHARM	6	19	area_10mr_L	L.a10mr	203	1
19	CHARM	6	21	area_10o_R	R.a10o	362	0
20	CHARM	6	21	area_10o_L	L.a10oL	374	0
21	CHARM	4	5	area_25_R	R.a25	273	0
22	CHARM	4	5	area_25_L	L.a25	253	0
23	CHARM	4	4	area_32_R	R.a32	175	1
24	CHARM	4	4	area_32_L	L.a32	180	1
25	NA	NA	NA	anterior_insula_R	R.aic	211	1
26	NA	NA	NA	anterior_insula_L	L.aic	211	1
27	NA	NA	NA	hippocampus_R	R.hipp	332	1
28	NA	NA	NA	hippocampus_L	L.hipp	332	1
29	SARM	2	16	amygdala_R	R.amygd	885	1
30	SARM	2	16	amygdala_L	L.amygd	895	1
31	CHARM	2	125	posterior_medial_ctx_R	R.pmc	1622	1
32	CHARM	2	125	posterior_medial_ctx_L	L.pmc	1570	1
